Statistic,Year,Type of Crop,UNIT,VALUE
Crop Yield,1995,Spring oats,000 Tonnes,54
Crop Yield,1995,Total barley,000 Tonnes,1084
Crop Yield,1995,Winter barley,000 Tonnes,251
Crop Yield,1995,Spring barley,000 Tonnes,833
Crop Yield,1995,Beans and peas,000 Tonnes,19
Crop Yield,1995,Oilseed rape,000 Tonnes,13
Crop Yield,1995,Potatoes,000 Tonnes,618
Crop Yield,1995,Turnips,000 Tonnes,289
Crop Yield,1995,Sugar beet,000 Tonnes,1547
Crop Yield,1995,Fodder beet,000 Tonnes,596
Crop Yield,1995,Kale and field cabbage,000 Tonnes,57
Crop Yield,1996,"Total wheat, oats and barley",000 Tonnes,2142
Crop Yield,1996,Total wheat,000 Tonnes,771.2
Crop Yield,1996,Winter wheat,000 Tonnes,632.5
Crop Yield,1996,Spring wheat,000 Tonnes,138.7
Crop Yield,1996,Total oats,000 Tonnes,146.1
Crop Yield,1996,Winter oats,000 Tonnes,95.1
Crop Yield,1996,Spring oats,000 Tonnes,51.1
Crop Yield,1996,Total barley,000 Tonnes,1224.6
Crop Yield,1996,Winter barley,000 Tonnes,327.9
Crop Yield,1996,Spring barley,000 Tonnes,896.8
Crop Yield,1996,Beans and peas,000 Tonnes,21.5
Crop Yield,1996,Oilseed rape,000 Tonnes,10.1
Crop Yield,1996,Potatoes,000 Tonnes,733.3
Crop Yield,1996,Turnips,000 Tonnes,309.8
Crop Yield,1996,Sugar beet,000 Tonnes,1475.6
Crop Yield,1996,Fodder beet,000 Tonnes,726.3
Crop Yield,1996,Kale and field cabbage,000 Tonnes,63.7
Crop Yield,1997,"Total wheat, oats and barley",000 Tonnes,1943.4
Crop Yield,1997,Total wheat,000 Tonnes,724.5
Crop Yield,1997,Winter wheat,000 Tonnes,563.3
Crop Yield,1997,Spring wheat,000 Tonnes,161.2
Crop Yield,1997,Total oats,000 Tonnes,131.6
Crop Yield,1997,Winter oats,000 Tonnes,83.4
Crop Yield,1997,Spring oats,000 Tonnes,48.2
Crop Yield,1997,Total barley,000 Tonnes,1087.2
Crop Yield,1997,Winter barley,000 Tonnes,287.4
Crop Yield,1997,Spring barley,000 Tonnes,799.8
Crop Yield,1997,Beans and peas,000 Tonnes,19.4
Crop Yield,1997,Oilseed rape,000 Tonnes,12
Crop Yield,1997,Potatoes,000 Tonnes,471.9
Crop Yield,1997,Turnips,000 Tonnes,284.7
Crop Yield,1997,Sugar beet,000 Tonnes,1648.2
Crop Yield,1997,Fodder beet,000 Tonnes,603.5
Crop Yield,1997,Kale and field cabbage,000 Tonnes,
Crop Yield,1998,"Total wheat, oats and barley",000 Tonnes,1865
Crop Yield,1998,Total wheat,000 Tonnes,673
Crop Yield,1998,Winter wheat,000 Tonnes,531.9
Crop Yield,1998,Spring wheat,000 Tonnes,141.1
Crop Yield,1998,Total oats,000 Tonnes,119.1
Crop Yield,1998,Winter oats,000 Tonnes,80.2
Crop Yield,1998,Spring oats,000 Tonnes,38.9
Crop Yield,1998,Total barley,000 Tonnes,1072.9
Crop Yield,1998,Winter barley,000 Tonnes,249.9
Crop Yield,1998,Spring barley,000 Tonnes,823.1
Crop Yield,1998,Beans and peas,000 Tonnes,32.4
Crop Yield,1998,Oilseed rape,000 Tonnes,16.6
Crop Yield,1998,Potatoes,000 Tonnes,482.1
Crop Yield,1998,Turnips,000 Tonnes,208.1
Crop Yield,1998,Sugar beet,000 Tonnes,1640
Crop Yield,1998,Fodder beet,000 Tonnes,475.2
Crop Yield,1998,Kale and field cabbage,000 Tonnes,
Crop Yield,1999,"Total wheat, oats and barley",000 Tonnes,2011.3
Crop Yield,1999,Total wheat,000 Tonnes,597.4
Crop Yield,1999,Winter wheat,000 Tonnes,382.1
Crop Yield,1999,Spring wheat,000 Tonnes,215.3
Crop Yield,1999,Total oats,000 Tonnes,136.4
Crop Yield,1999,Winter oats,000 Tonnes,60.2
Crop Yield,1999,Spring oats,000 Tonnes,76.2
Crop Yield,1999,Total barley,000 Tonnes,1277.5
Crop Yield,1999,Winter barley,000 Tonnes,200.5
Crop Yield,1999,Spring barley,000 Tonnes,1077
Crop Yield,1999,Beans and peas,000 Tonnes,18.4
Crop Yield,1999,Oilseed rape,000 Tonnes,5.1
Crop Yield,1999,Potatoes,000 Tonnes,558.6
Crop Yield,1999,Turnips,000 Tonnes,176.6
Crop Yield,1999,Sugar beet,000 Tonnes,1712.1
Crop Yield,1999,Fodder beet,000 Tonnes,494.8
Crop Yield,1999,Kale and field cabbage,000 Tonnes,
Crop Yield,2000,"Total wheat, oats and barley",000 Tonnes,2173.9
Crop Yield,2000,Total wheat,000 Tonnes,737.4
Crop Yield,2000,Winter wheat,000 Tonnes,582.3
Crop Yield,2000,Spring wheat,000 Tonnes,155.1
Crop Yield,2000,Total oats,000 Tonnes,126.6
Crop Yield,2000,Winter oats,000 Tonnes,79.8
Crop Yield,2000,Spring oats,000 Tonnes,46.8
Crop Yield,2000,Total barley,000 Tonnes,1309.9
Crop Yield,2000,Winter barley,000 Tonnes,202.6
Crop Yield,2000,Spring barley,000 Tonnes,1107.3
Crop Yield,2000,Beans and peas,000 Tonnes,7.7
Crop Yield,2000,Oilseed rape,000 Tonnes,8.6
Crop Yield,2000,Potatoes,000 Tonnes,454.8
Crop Yield,2000,Turnips,000 Tonnes,124
Crop Yield,2000,Sugar beet,000 Tonnes,1829
Crop Yield,2000,Fodder beet,000 Tonnes,361.3
Crop Yield,2000,Kale and field cabbage,000 Tonnes,
Crop Yield,2001,"Total wheat, oats and barley",000 Tonnes,2165.1
Crop Yield,2001,Total wheat,000 Tonnes,769.2
Crop Yield,2001,Winter wheat,000 Tonnes,489.2
Crop Yield,2001,Spring wheat,000 Tonnes,280
Crop Yield,2001,Total oats,000 Tonnes,118.7
Crop Yield,2001,Winter oats,000 Tonnes,45.2
Crop Yield,2001,Spring oats,000 Tonnes,73.4
Crop Yield,2001,Total barley,000 Tonnes,1277.2
Crop Yield,2001,Winter barley,000 Tonnes,156.7
Crop Yield,2001,Spring barley,000 Tonnes,1120.5
Crop Yield,2001,Beans and peas,000 Tonnes,8.9
Crop Yield,2001,Oilseed rape,000 Tonnes,7.3
Crop Yield,2001,Potatoes,000 Tonnes,477.6
Crop Yield,2001,Turnips,000 Tonnes,99.9
Crop Yield,2001,Sugar beet,000 Tonnes,1498
Crop Yield,2001,Fodder beet,000 Tonnes,278.7
Crop Yield,2001,Kale and field cabbage,000 Tonnes,
Crop Yield,2002,"Total wheat, oats and barley",000 Tonnes,1963.6
Crop Yield,2002,Total wheat,000 Tonnes,867.2
Crop Yield,2002,Winter wheat,000 Tonnes,703.6
Crop Yield,2002,Spring wheat,000 Tonnes,163.6
Crop Yield,2002,Total oats,000 Tonnes,133.6
Crop Yield,2002,Winter oats,000 Tonnes,92.1
Crop Yield,2002,Spring oats,000 Tonnes,41.5
Crop Yield,2002,Total barley,000 Tonnes,962.8
Crop Yield,2002,Winter barley,000 Tonnes,152.8
Crop Yield,2002,Spring barley,000 Tonnes,810
Crop Yield,2002,Beans and peas,000 Tonnes,7.5
Crop Yield,2002,Oilseed rape,000 Tonnes,6.7
Crop Yield,2002,Potatoes,000 Tonnes,518.6
Crop Yield,2002,Turnips,000 Tonnes,89.7
Crop Yield,2002,Sugar beet,000 Tonnes,1300.7
Crop Yield,2002,Fodder beet,000 Tonnes,249.5
Crop Yield,2002,Kale and field cabbage,000 Tonnes,
Crop Yield,2003,"Total wheat, oats and barley",000 Tonnes,2146.9
Crop Yield,2003,Total wheat,000 Tonnes,794.1
Crop Yield,2003,Winter wheat,000 Tonnes,526.9
Crop Yield,2003,Spring wheat,000 Tonnes,267.2
Crop Yield,2003,Total oats,000 Tonnes,155.1
Crop Yield,2003,Winter oats,000 Tonnes,75.9
Crop Yield,2003,Spring oats,000 Tonnes,79.2
Crop Yield,2003,Total barley,000 Tonnes,1197.7
Crop Yield,2003,Winter barley,000 Tonnes,152.8
Crop Yield,2003,Spring barley,000 Tonnes,1044.9
Crop Yield,2003,Beans and peas,000 Tonnes,13.7
Crop Yield,2003,Oilseed rape,000 Tonnes,7.2
Crop Yield,2003,Potatoes,000 Tonnes,488.2
Crop Yield,2003,Turnips,000 Tonnes,
Crop Yield,2003,Sugar beet,000 Tonnes,1505.2
Crop Yield,2003,Fodder beet,000 Tonnes,
Crop Yield,2003,Kale and field cabbage,000 Tonnes,
Crop Yield,2004,"Total wheat, oats and barley",000 Tonnes,2500.9
Crop Yield,2004,Total wheat,000 Tonnes,1019.2
Crop Yield,2004,Winter wheat,000 Tonnes,750.6
Crop Yield,2004,Spring wheat,000 Tonnes,268.6
Crop Yield,2004,Total oats,000 Tonnes,155.2
Crop Yield,2004,Winter oats,000 Tonnes,107.3
Crop Yield,2004,Spring oats,000 Tonnes,47.9
Crop Yield,2004,Total barley,000 Tonnes,1326.6
Crop Yield,2004,Winter barley,000 Tonnes,168.2
Crop Yield,2004,Spring barley,000 Tonnes,1158.5
Crop Yield,2004,Beans and peas,000 Tonnes,14.4
Crop Yield,2004,Oilseed rape,000 Tonnes,6.7
Crop Yield,2004,Potatoes,000 Tonnes,552.2
Crop Yield,2004,Turnips,000 Tonnes,
Crop Yield,2004,Sugar beet,000 Tonnes,1861.4
Crop Yield,2004,Fodder beet,000 Tonnes,
Crop Yield,2004,Kale and field cabbage,000 Tonnes,
Crop Yield,2005,"Total wheat, oats and barley",000 Tonnes,1938
Crop Yield,2005,Total wheat,000 Tonnes,802.7
Crop Yield,2005,Winter wheat,000 Tonnes,572
Crop Yield,2005,Spring wheat,000 Tonnes,229.7
Crop Yield,2005,Total oats,000 Tonnes,112.8
Crop Yield,2005,Winter oats,000 Tonnes,63.1
Crop Yield,2005,Spring oats,000 Tonnes,49.8
Crop Yield,2005,Total barley,000 Tonnes,1024.4
Crop Yield,2005,Winter barley,000 Tonnes,126
Crop Yield,2005,Spring barley,000 Tonnes,899.2
Crop Yield,2005,Beans and peas,000 Tonnes,18.9
Crop Yield,2005,Oilseed rape,000 Tonnes,14.2
Crop Yield,2005,Potatoes,000 Tonnes,409.2
Crop Yield,2005,Turnips,000 Tonnes,
Crop Yield,2005,Sugar beet,000 Tonnes,1380
Crop Yield,2005,Fodder beet,000 Tonnes,
Crop Yield,2005,Kale and field cabbage,000 Tonnes,
Crop Yield,2006,"Total wheat, oats and barley",000 Tonnes,2083.1
Crop Yield,2006,Total wheat,000 Tonnes,801
Crop Yield,2006,Winter wheat,000 Tonnes,580
Crop Yield,2006,Spring wheat,000 Tonnes,221
Crop Yield,2006,Total oats,000 Tonnes,145.2
Crop Yield,2006,Winter oats,000 Tonnes,74.2
Crop Yield,2006,Spring oats,000 Tonnes,71
Crop Yield,2006,Total barley,000 Tonnes,1136.9
Crop Yield,2006,Winter barley,000 Tonnes,119.3
Crop Yield,2006,Spring barley,000 Tonnes,1017.6
Crop Yield,2006,Beans and peas,000 Tonnes,20
Crop Yield,2006,Oilseed rape,000 Tonnes,17.9
Crop Yield,2006,Potatoes,000 Tonnes,382.9
Crop Yield,2006,Turnips,000 Tonnes,
Crop Yield,2006,Sugar beet,000 Tonnes,
Crop Yield,2006,Fodder beet,000 Tonnes,
Crop Yield,2006,Kale and field cabbage,000 Tonnes,
Crop Yield,2007,"Total wheat, oats and barley",000 Tonnes,1997
Crop Yield,2007,Total wheat,000 Tonnes,713.4
Crop Yield,2007,Winter wheat,000 Tonnes,562.5
Crop Yield,2007,Spring wheat,000 Tonnes,150.9
Crop Yield,2007,Total oats,000 Tonnes,159.1
Crop Yield,2007,Winter oats,000 Tonnes,109.3
Crop Yield,2007,Spring oats,000 Tonnes,49.8
Crop Yield,2007,Total barley,000 Tonnes,1124.5
Crop Yield,2007,Winter barley,000 Tonnes,142.4
Crop Yield,2007,Spring barley,000 Tonnes,982.2
Crop Yield,2007,Beans and peas,000 Tonnes,12.8
Crop Yield,2007,Oilseed rape,000 Tonnes,31.9
Crop Yield,2007,Potatoes,000 Tonnes,399
Crop Yield,2007,Turnips,000 Tonnes,
Crop Yield,2007,Sugar beet,000 Tonnes,
Crop Yield,2007,Fodder beet,000 Tonnes,
Crop Yield,2007,Kale and field cabbage,000 Tonnes,
