Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,1995,"Total wheat, oats and barley",000 Hectares,269.2
Area under Crops,1995,Total wheat,000 Hectares,70.7
Area under Crops,1995,Winter wheat,000 Hectares,51.8
Area under Crops,1995,Spring wheat,000 Hectares,18.9
Area under Crops,1995,Total oats,000 Hectares,19.9
Area under Crops,1995,Winter oats,000 Hectares,10.5
Area under Crops,1995,Spring oats,000 Hectares,9.4
Area under Crops,1995,Total barley,000 Hectares,178.6
Area under Crops,1995,Winter barley,000 Hectares,37.1
Area under Crops,1995,Spring barley,000 Hectares,141.4
Area under Crops,1995,Beans and peas,000 Hectares,4.8
Area under Crops,1995,Oilseed rape,000 Hectares,4.1
Area under Crops,1995,Potatoes,000 Hectares,22.4
Area under Crops,1995,Turnips,000 Hectares,5.3
Area under Crops,1995,Sugar beet,000 Hectares,35.1
Area under Crops,1995,Fodder beet,000 Hectares,8.9
Area under Crops,1995,Kale and field cabbage,000 Hectares,1.5
Area under Crops,1996,"Total wheat, oats and barley",000 Hectares,288
Area under Crops,1996,Total wheat,000 Hectares,85.7
Area under Crops,1996,Winter wheat,000 Hectares,67.2
Area under Crops,1996,Spring wheat,000 Hectares,18.5
Area under Crops,1996,Total oats,000 Hectares,20.9
Area under Crops,1996,Winter oats,000 Hectares,12.5
Area under Crops,1996,Spring oats,000 Hectares,8.4
Area under Crops,1996,Total barley,000 Hectares,181.4
Area under Crops,1996,Winter barley,000 Hectares,40.9
Area under Crops,1996,Spring barley,000 Hectares,140.5
Area under Crops,1996,Beans and peas,000 Hectares,4.8
Area under Crops,1996,Oilseed rape,000 Hectares,3.5
Area under Crops,1996,Potatoes,000 Hectares,24.3
Area under Crops,1996,Turnips,000 Hectares,5.4
Area under Crops,1996,Sugar beet,000 Hectares,32.3
Area under Crops,1996,Fodder beet,000 Hectares,9.9
Area under Crops,1996,Kale and field cabbage,000 Hectares,1.6
Area under Crops,1997,"Total wheat, oats and barley",000 Hectares,304.3
Area under Crops,1997,Total wheat,000 Hectares,93.9
Area under Crops,1997,Winter wheat,000 Hectares,70.2
Area under Crops,1997,Spring wheat,000 Hectares,23.7
Area under Crops,1997,Total oats,000 Hectares,20.6
Area under Crops,1997,Winter oats,000 Hectares,11.2
Area under Crops,1997,Spring oats,000 Hectares,9.4
Area under Crops,1997,Total barley,000 Hectares,189.8
Area under Crops,1997,Winter barley,000 Hectares,41.1
Area under Crops,1997,Spring barley,000 Hectares,148.6
Area under Crops,1997,Beans and peas,000 Hectares,4.8
Area under Crops,1997,Oilseed rape,000 Hectares,4.4
Area under Crops,1997,Potatoes,000 Hectares,18.2
Area under Crops,1997,Turnips,000 Hectares,5.2
Area under Crops,1997,Sugar beet,000 Hectares,32.3
Area under Crops,1997,Fodder beet,000 Hectares,9.1
Area under Crops,1997,Kale and field cabbage,000 Hectares,
Area under Crops,1998,"Total wheat, oats and barley",000 Hectares,294
Area under Crops,1998,Total wheat,000 Hectares,83.8
Area under Crops,1998,Winter wheat,000 Hectares,65.5
Area under Crops,1998,Spring wheat,000 Hectares,18.4
Area under Crops,1998,Total oats,000 Hectares,19.4
Area under Crops,1998,Winter oats,000 Hectares,12.1
Area under Crops,1998,Spring oats,000 Hectares,7.3
Area under Crops,1998,Total barley,000 Hectares,190.7
Area under Crops,1998,Winter barley,000 Hectares,39
Area under Crops,1998,Spring barley,000 Hectares,151.7
Area under Crops,1998,Beans and peas,000 Hectares,6.5
Area under Crops,1998,Oilseed rape,000 Hectares,5.6
Area under Crops,1998,Potatoes,000 Hectares,18.5
Area under Crops,1998,Turnips,000 Hectares,4.6
Area under Crops,1998,Sugar beet,000 Hectares,32.9
Area under Crops,1998,Fodder beet,000 Hectares,7.3
Area under Crops,1998,Kale and field cabbage,000 Hectares,
Area under Crops,1999,"Total wheat, oats and barley",000 Hectares,280.3
Area under Crops,1999,Total wheat,000 Hectares,68.1
Area under Crops,1999,Winter wheat,000 Hectares,40.6
Area under Crops,1999,Spring wheat,000 Hectares,27.4
Area under Crops,1999,Total oats,000 Hectares,20.2
Area under Crops,1999,Winter oats,000 Hectares,7.7
Area under Crops,1999,Spring oats,000 Hectares,12.5
Area under Crops,1999,Total barley,000 Hectares,192
Area under Crops,1999,Winter barley,000 Hectares,26.2
Area under Crops,1999,Spring barley,000 Hectares,165.8
Area under Crops,1999,Beans and peas,000 Hectares,4.1
Area under Crops,1999,Oilseed rape,000 Hectares,2.6
Area under Crops,1999,Potatoes,000 Hectares,17.5
Area under Crops,1999,Turnips,000 Hectares,4.2
Area under Crops,1999,Sugar beet,000 Hectares,33.8
Area under Crops,1999,Fodder beet,000 Hectares,7
Area under Crops,1999,Kale and field cabbage,000 Hectares,
Area under Crops,2000,"Total wheat, oats and barley",000 Hectares,277.1
Area under Crops,2000,Total wheat,000 Hectares,78
Area under Crops,2000,Winter wheat,000 Hectares,58.8
Area under Crops,2000,Spring wheat,000 Hectares,19.1
Area under Crops,2000,Total oats,000 Hectares,16.8
Area under Crops,2000,Winter oats,000 Hectares,9.6
Area under Crops,2000,Spring oats,000 Hectares,7.2
Area under Crops,2000,Total barley,000 Hectares,182.3
Area under Crops,2000,Winter barley,000 Hectares,24.1
Area under Crops,2000,Spring barley,000 Hectares,158.2
Area under Crops,2000,Beans and peas,000 Hectares,1.5
Area under Crops,2000,Oilseed rape,000 Hectares,2.7
Area under Crops,2000,Potatoes,000 Hectares,13.5
Area under Crops,2000,Turnips,000 Hectares,2.1
Area under Crops,2000,Sugar beet,000 Hectares,32.2
Area under Crops,2000,Fodder beet,000 Hectares,5.1
Area under Crops,2000,Kale and field cabbage,000 Hectares,
Area under Crops,2001,"Total wheat, oats and barley",000 Hectares,283.7
Area under Crops,2001,Total wheat,000 Hectares,84.9
Area under Crops,2001,Winter wheat,000 Hectares,49.9
